iter	MAE	RMSE
109	3.10641326	4.765534227
110	3.10080845	4.757463936
111	3.095457067	4.750529896
112	3.092469066	4.745285768
113	3.092466038	4.745285364
114	3.092494394	4.745185196
115	3.089506542	4.740925305
116	3.086991409	4.73719243
117	3.077979859	4.725022535
118	3.072701115	4.71821688
119	3.069184628	4.714546517
120	3.066884874	4.711468864
121	3.061179376	4.702273872
122	3.05695661	4.695446264
123	3.055247218	4.693964052
124	3.049933748	4.686395926
125	3.048298434	4.683958941
126	3.043947657	4.678881311
127	3.041454719	4.674638827
128	3.036755601	4.66815777
129	3.032008092	4.662199794
130	3.027784185	4.655406918
131	3.024122089	4.65165444
132	3.021221451	4.64770036
133	3.013466052	4.635703756
134	3.011453973	4.633251173
135	3.006329268	4.627237586
136	3.003774872	4.624366679
137	3.001942782	4.621577304
138	2.998836946	4.618062792
139	2.997742571	4.616357551
140	2.992694953	4.610569316
141	2.988789694	4.605402941
142	2.987458093	4.60460964
143	2.985269906	4.602329373
144	2.979715879	4.593835039
145	2.977409913	4.590525368
146	2.97389875	4.585732536
147	2.973894456	4.585732344
148	2.972237157	4.583158094
149	2.970446619	4.579730903
150	2.968036856	4.575503225
151	2.966221306	4.572839274
152	2.960562852	4.56461745
153	2.954917969	4.556851033
154	2.951905825	4.553668836
155	2.949973848	4.550941925
156	2.948059443	4.548941057
157	2.946641816	4.546968683
158	2.94307207	4.541144139
159	2.940102753	4.537040235
160	2.933563734	4.527691442
161	2.932403272	4.525978937
162	2.929748413	4.522029551
163	2.926120583	4.516596459
164	2.924716204	4.513852969
165	2.920704871	4.508520941
166	2.91938915	4.506972206
167	2.916043942	4.502095221
168	2.914233818	4.499522174
169	2.913041552	4.497698596
170	2.907372037	4.490114755
171	2.905833673	4.487406745
172	2.902943801	4.483197339
173	2.901723757	4.481785602
174	2.895895069	4.474417811
175	2.891910142	4.468829944
176	2.890280481	4.466857275
177	2.888990255	4.464490272
178	2.885057996	4.460110224
179	2.883711779	4.458540598
180	2.881625795	4.45596823
181	2.880553426	4.454186219
182	2.877808134	4.450244245
183	2.873391292	4.444016489
184	2.870595643	4.440011926
185	2.865970694	4.433875529
186	2.864402211	4.432487506
187	2.862524451	4.429641535
188	2.861855616	4.428830118
189	2.858367326	4.423845048
190	2.852426927	4.417468331
191	2.849861065	4.413650091
192	2.846122441	4.410407877
193	2.845279224	4.409609386
194	2.843908637	4.407319672
195	2.84159271	4.40388663
196	2.837718764	4.397820167
197	2.834702339	4.393886199
198	2.830309441	4.387140408
199	2.82797723	4.384337657
200	2.826680579	4.382327743
201	2.823869148	4.377180677
202	2.822498395	4.374598418
203	2.818946353	4.370430689
204	2.817154933	4.367549139
205	2.814167153	4.363524406
206	2.810849591	4.358819746
207	2.808421429	4.355990946
208	2.806233922	4.353068317
209	2.805548013	4.351693514
210	2.805069308	4.350967865
211	2.800335425	4.345272148
212	2.799232305	4.343722534
213	2.797340189	4.340050853
214	2.796020208	4.337593703
215	2.794439349	4.334561324
216	2.791335878	4.330409459
217	2.789453925	4.325884698
218	2.788720261	4.324867092
219	2.785129963	4.320628466
220	2.781859605	4.316209039
221	2.777411198	4.310390273
222	2.775195447	4.306831673
223	2.772556224	4.302308993
224	2.767519411	4.298175716
225	2.766532239	4.297045442
226	2.762432588	4.292748639
227	2.760887011	4.290242863
228	2.757330925	4.284243111
229	2.754391583	4.279687793
230	2.749555638	4.272796138
231	2.746521167	4.268275296
232	2.744266101	4.265468922
233	2.742855927	4.263515276
234	2.737810084	4.259360885
235	2.736153855	4.256910722
236	2.734685303	4.254634553
237	2.733998024	4.253487838
238	2.730875583	4.248750222
239	2.729798979	4.246808557
240	2.72858406	4.245250889
241	2.726040221	4.241826883
242	2.725452794	4.241019403
243	2.725218699	4.240640329
244	2.72358602	4.237743846
245	2.719216329	4.231990634
246	2.714731561	4.227384292
247	2.712992621	4.225641322
248	2.710874896	4.223098574
249	2.710333319	4.222147291
250	2.707830084	4.218685236
251	2.705889993	4.216012106
252	2.702695697	4.21180524
253	2.700181108	4.20721595
254	2.698721792	4.204895677
255	2.695582523	4.2006816
256	2.693753972	4.197284248
257	2.692161647	4.195316348
258	2.690231924	4.193143497
259	2.689545421	4.19205131
260	2.684257076	4.183426697
261	2.682480108	4.180418783
262	2.681702962	4.17901969
263	2.678561301	4.174691971
264	2.676889465	4.172921732
265	2.67422154	4.169406293
266	2.670685062	4.164160075
267	2.669454642	4.162417993
268	2.667016891	4.158525221
269	2.665902678	4.155928463
270	2.663020621	4.151991601
271	2.662814364	4.151747797
272	2.658188345	4.144980379
273	2.656724933	4.142779094
274	2.655117427	4.140255837
275	2.652943899	4.136869735
276	2.649234148	4.131348862
277	2.646573106	4.126718453
278	2.645706843	4.125180008
279	2.645019919	4.124201274
280	2.643569429	4.12257758
281	2.642092023	4.1208293
282	2.641577233	4.119920564
283	2.641022285	4.11894747
284	2.638454581	4.116384546
285	2.638191848	4.116041633
286	2.635036841	4.112297517
287	2.631767733	4.107398731
288	2.629556455	4.104241884
289	2.628752604	4.102950682
290	2.627549716	4.100848987
291	2.625630065	4.098564529
292	2.623452616	4.09566409
293	2.620547266	4.091495724
294	2.619643345	4.089569236
295	2.617877644	4.086200075
296	2.616594968	4.083880071
297	2.614155524	4.080292526
298	2.613101637	4.078268647
299	2.61192548	4.076597238
300	2.610679939	4.074105935
301	2.609642914	4.07228133
302	2.6080347	4.070458696
303	2.605498978	4.067046824
304	2.602467274	4.062849957
305	2.60128085	4.061271256
306	2.599235033	4.058907103
307	2.597199479	4.056756379
308	2.59538532	4.053423507
309	2.591170619	4.047824415
310	2.589560149	4.045004992
311	2.587888706	4.04302879
312	2.586526405	4.041062731
313	2.584662293	4.038547826
314	2.583170864	4.036094126
315	2.579501304	4.031393841
316	2.577496517	4.028000686
317	2.575899086	4.02622429
318	2.57264701	4.021515077
319	2.571298895	4.01939067
320	2.56923943	4.0160999
321	2.567074862	4.01261102
322	2.565525401	4.009408425
323	2.562101851	4.004839826
324	2.559414191	4.000515303
325	2.557059035	3.996237747
326	2.555496863	3.993846274
327	2.554172244	3.99164519
328	2.552331719	3.989360291
329	2.550822233	3.987147777
330	2.550271727	3.986201972
331	2.547539481	3.982037808
332	2.545169784	3.979164672
333	2.543780513	3.976951731
334	2.541458667	3.97315117
335	2.539571554	3.97052508
336	2.534962599	3.965050645
337	2.532273827	3.960466841
338	2.527952105	3.954073138
339	2.526968456	3.9522453
340	2.52525047	3.949481817
341	2.523004608	3.945720263
342	2.521603037	3.943740875
343	2.5196176	3.940841572
344	2.516818457	3.936218124
345	2.515555974	3.934081066
346	2.513691233	3.931182166
347	2.511733401	3.928261254
348	2.510166061	3.926222778
349	2.508955622	3.923502943
350	2.505986609	3.919546024
351	2.504417616	3.916980309
352	2.503210997	3.914898617
353	2.499921424	3.908951984
354	2.498462601	3.906751255
355	2.496024416	3.902398894
356	2.493842518	3.89914501
357	2.492206215	3.896105079
358	2.491800878	3.89503326
359	2.489501912	3.89282169
360	2.487924216	3.890714205
361	2.487291016	3.889863852
362	2.483824623	3.884007067
363	2.482612852	3.882706166
364	2.481531402	3.881030451
365	2.48099487	3.880189638
366	2.477813753	3.87435746
367	2.476032943	3.871783791
368	2.475124037	3.870426581
369	2.472473608	3.867823793
370	2.470100156	3.864500455
371	2.468434668	3.862776016
372	2.466200435	3.860204867
373	2.46440276	3.858470182
374	2.461111843	3.852503072
375	2.458465516	3.848065644
376	2.45728432	3.845545821
377	2.455936735	3.843389361
378	2.454882931	3.841557391
379	2.452180808	3.836998763
380	2.451329432	3.835634897
381	2.450499561	3.834279739
382	2.449276393	3.832316041
383	2.448497092	3.830975723
384	2.447001611	3.828620863
385	2.445753245	3.827198971
386	2.445054366	3.826212796
387	2.444733859	3.825530569
388	2.44292514	3.823351987
389	2.439919523	3.817393258
390	2.438110901	3.813974001
391	2.436809933	3.811646679
392	2.435863336	3.809798819
393	2.432928755	3.805182553
394	2.431822426	3.803445759
395	2.430800606	3.801632637
396	2.42969854	3.800244614
397	2.426348899	3.795912887
398	2.422893519	3.790639702
399	2.421712327	3.78849688
400	2.41722411	3.780732819
401	2.415777709	3.778558492
402	2.413914051	3.775649113
403	2.41190729	3.772385521
404	2.411637391	3.772079543
405	2.410378144	3.769960018
406	2.408742659	3.767531016
407	2.40759752	3.765741965
408	2.405596882	3.761130842
409	2.405371489	3.760698319
410	2.402546402	3.758205271
411	2.400694882	3.75520878
412	2.399991815	3.75412424
413	2.3989796	3.752327097
414	2.396360991	3.748242852
415	2.39541807	3.746344447
416	2.393301324	3.743615301
417	2.391247611	3.740190731
418	2.38961597	3.73720843
419	2.388533104	3.73554837
420	2.38738438	3.733780694
421	2.386543989	3.732933165
422	2.385812142	3.732264864
423	2.383758024	3.729567346
424	2.38316355	3.728680026
425	2.381905301	3.726912245
426	2.380427342	3.724674144
427	2.377606443	3.719991952
428	2.374177702	3.715439752
429	2.372977141	3.713922989
430	2.372480731	3.712800802
431	2.369509012	3.708073138
432	2.367856691	3.705596533
433	2.366089298	3.702932218
434	2.363744298	3.698809216
435	2.362220413	3.697414007
436	2.361611494	3.696405171
437	2.359985591	3.693602331
438	2.358777216	3.691602239
439	2.35789957	3.6899944
440	2.357407398	3.689067182
441	2.356678157	3.687815358
442	2.35452364	3.684424616
443	2.352046197	3.68083847
444	2.349032029	3.677213857
445	2.348225175	3.675555586
446	2.346798898	3.673468069
447	2.34514132	3.671108523
448	2.344119826	3.669433733
449	2.342933824	3.66770734
450	2.341548128	3.665004974
451	2.339667489	3.663328089
452	2.339268189	3.662866533
453	2.336619024	3.658806007
454	2.334852243	3.655367128
455	2.334181405	3.654444059
456	2.331699136	3.650738087
457	2.328301748	3.646383951
458	2.327775649	3.645605126
459	2.327166472	3.644878583
460	2.325226788	3.641831834
461	2.32362469	3.639261813
462	2.320894926	3.635165578
463	2.319084951	3.633087882
464	2.31732294	3.630372945
465	2.315164949	3.627778678
466	2.313581912	3.625664819
467	2.311052361	3.621276106
468	2.308643424	3.616933905
469	2.308024184	3.616063131
470	2.307104351	3.61466082
471	2.305905621	3.613154002
472	2.305585966	3.61269648
473	2.304384734	3.610587214
474	2.301846424	3.607318807
475	2.300448914	3.605865205
476	2.298669402	3.603499023
477	2.29728578	3.601481902
478	2.295501207	3.598450285
479	2.295136135	3.597991278
480	2.292684678	3.593705315
481	2.292172959	3.592676189
482	2.290785982	3.590436245
483	2.290272763	3.589660968
484	2.289968698	3.589303505
485	2.288539445	3.586763571
486	2.287661829	3.585493112
487	2.287224225	3.584629841
488	2.28528009	3.58121606
489	2.284043472	3.579829785
490	2.282667921	3.577748518
491	2.281451666	3.576286687
492	2.28043351	3.574557069
493	2.280316558	3.574470895
494	2.277856838	3.570298526
495	2.276720946	3.56865436
496	2.27575178	3.567144958
497	2.272891851	3.563329081
498	2.272252823	3.562410118
499	2.271047028	3.559961015
