iter	Passed	Remaining
421	2913	538
422	2919	531
423	2924	524
424	2930	517
425	2936	510
426	2941	502
427	2947	495
428	2953	488
429	2958	481
430	2964	474
431	2970	467
432	2978	460
433	2984	453
434	2990	446
435	2996	439
436	3003	433
437	3009	426
438	3014	418
439	3020	411
440	3035	406
441	3056	401
442	3080	396
443	3087	389
444	3098	382
445	3103	375
446	3109	368
447	3115	361
448	3120	354
449	3129	347
450	3136	340
451	3143	333
452	3148	326
453	3159	320
454	3165	313
455	3171	306
456	3176	298
457	3183	291
458	3190	284
459	3196	277
460	3202	270
461	3207	263
462	3213	256
463	3220	249
464	3225	242
465	3231	235
466	3240	228
467	3247	222
468	3253	215
469	3258	207
470	3263	200
471	3270	193
472	3275	186
473	3280	179
474	3287	173
475	3293	166
476	3299	159
477	3306	152
478	3313	145
479	3319	138
480	3324	131
481	3329	124
482	3335	117
483	3341	110
484	3346	103
485	3352	96
486	3360	89
487	3367	82
488	3372	75
489	3378	68
490	3385	62
491	3392	55
492	3397	48
493	3402	41
494	3408	34
495	3413	27
496	3418	20
497	3425	13
498	3431	6
499	3436	0
